checkpoint_label,attack,n_images,accuracy,accuracy_ci_low,accuracy_ci_high,auroc,auroc_ci_low,auroc_ci_high
bass,blur,1000,0.872,0.851,0.891,0.9325160000000001,0.9172475389085292,0.9471701642795547
asr,blur,1000,0.857,0.836,0.878,0.9351039999999999,0.9200873546589914,0.9489322907289829
uniform,blur,1000,0.856,0.835,0.8760249999999998,0.9340280000000001,0.9189868042323941,0.9476511492509369
ats,blur,1000,0.849,0.827,0.87,0.9282359999999998,0.9120089049960985,0.9431632969576649
metaspidermark_original,blur,1000,0.841,0.819,0.862,0.9299839999999999,0.9140056272931545,0.9447605347398147
bandit_ucb,blur,1000,0.84,0.817,0.861,0.920848,0.9033911520058254,0.9372843520105595
asr,clean,1000,0.983,0.974,0.99,0.999856,0.9996515412483303,0.9999759812341315
bass,clean,1000,0.978,0.969,0.986,0.999924,0.9997954403432964,0.9999959980858795
metaspidermark_original,clean,1000,0.974,0.964,0.9830249999999998,0.999656,0.9991839808114384,0.9999839857872885
bandit_ucb,clean,1000,0.972,0.961,0.982,0.999796,0.9995274537365194,0.9999678936507882
uniform,clean,1000,0.972,0.962,0.982,0.999744,0.99939104251414,0.9999679872557219
ats,clean,1000,0.963,0.951,0.974,0.999776,0.9994394784705243,0.9999759884744528
asr,down_up,1000,0.946,0.932,0.96,0.990608,0.9860574786355459,0.9944120878069342
uniform,down_up,1000,0.94,0.925,0.954,0.990752,0.9862940681519631,0.994678935866394
bass,down_up,1000,0.939,0.925,0.954,0.9897119999999999,0.9845118845186729,0.9940710549470437
bandit_ucb,down_up,1000,0.93,0.914975,0.946,0.987492,0.9817113366768642,0.9924595008577916
metaspidermark_original,down_up,1000,0.921,0.904,0.937,0.9891920000000001,0.9837119580878587,0.9936910905281005
ats,down_up,1000,0.913,0.896,0.93,0.989268,0.9841008085364373,0.9935505141301524
metaspidermark_original,geom_warp,1000,0.897,0.878,0.915,0.96458,0.9535050822653296,0.9744924995216229
uniform,geom_warp,1000,0.892,0.873,0.912,0.9601999999999999,0.9487091841437632,0.9706544572071605
ats,geom_warp,1000,0.887,0.867,0.906,0.9512480000000001,0.9383168233264149,0.962265561788329
asr,geom_warp,1000,0.874,0.854,0.894,0.9599840000000001,0.9487733646036182,0.9702981189054296
bandit_ucb,geom_warp,1000,0.873,0.852,0.893,0.950292,0.9375556198424838,0.9619077043715676
bass,geom_warp,1000,0.871,0.851,0.891,0.9551799999999999,0.9431188685288379,0.9660368144405816
bass,jpeg_strong,1000,0.948,0.933,0.961,0.989476,0.9846025323511786,0.9934623525612375
asr,jpeg_strong,1000,0.945,0.931,0.958,0.9892160000000001,0.9843235891923255,0.9931359927597946
uniform,jpeg_strong,1000,0.942,0.926975,0.956,0.989272,0.9842019029659279,0.9934032366268524
metaspidermark_original,jpeg_strong,1000,0.942,0.927,0.956,0.9892560000000001,0.9845915541934476,0.9933300970873786
bandit_ucb,jpeg_strong,1000,0.939,0.923,0.954,0.9854719999999999,0.9794788644897143,0.9905746919814383
ats,jpeg_strong,1000,0.936,0.92,0.951,0.987776,0.9827736414295707,0.9919648362321533
metaspidermark_original,msg_app_combo,1000,0.874,0.853,0.895,0.9398439999999999,0.9250790195947667,0.9539676987295695
ats,msg_app_combo,1000,0.865,0.844,0.887,0.9366319999999999,0.9221953542364363,0.9503621263437592
bandit_ucb,msg_app_combo,1000,0.847,0.824,0.869,0.9361280000000001,0.9207613689059219,0.9499355835093783
bass,msg_app_combo,1000,0.843,0.82,0.866,0.9434079999999999,0.9296433134752571,0.9567531907126916
uniform,msg_app_combo,1000,0.808,0.782975,0.833,0.9471919999999999,0.9337354590693804,0.9598258582198816
asr,msg_app_combo,1000,0.808,0.783,0.832,0.942768,0.9291578554769626,0.9562889566993311
asr,occlusion,1000,0.986,0.978,0.993,0.9996999999999999,0.9993437637217135,0.9999320942599383
metaspidermark_original,occlusion,1000,0.983,0.975,0.991,0.9991919999999999,0.9976721454206682,0.9999719408737242
bass,occlusion,1000,0.98,0.97,0.988,0.9996959999999999,0.999311373610965,0.9999277912065802
uniform,occlusion,1000,0.978,0.968,0.987,0.999652,0.9992119713624563,0.999927998869582
bandit_ucb,occlusion,1000,0.976,0.966,0.985,0.9996,0.9990951045725298,0.9999559703460174
ats,occlusion,1000,0.961,0.949,0.972,0.99954,0.9990337259841957,0.9998880949882263
ats,random_crop,1000,0.891,0.871,0.909,0.956976,0.9454148031181592,0.967511544570458
bass,random_crop,1000,0.877,0.855,0.8960249999999998,0.958588,0.9470915455939941,0.9695820897535282
metaspidermark_original,random_crop,1000,0.873,0.852,0.893,0.955592,0.9438661431435125,0.9669263763552073
uniform,random_crop,1000,0.868,0.847,0.889,0.95932,0.9482923070174898,0.9699167465131427
asr,random_crop,1000,0.864,0.843,0.885,0.95792,0.9463817658238645,0.968741149997301
bandit_ucb,random_crop,1000,0.862,0.841,0.883,0.951404,0.9391749639549276,0.9628325349447431
ats,train_aug_mix,1000,0.805,0.779,0.83,0.888308,0.8670981193193006,0.9084837222394072
metaspidermark_original,train_aug_mix,1000,0.801,0.776,0.825,0.9008599999999999,0.8814340688198594,0.9192768341210455
uniform,train_aug_mix,1000,0.789,0.764,0.813,0.899956,0.8808959620002123,0.9186116866075965
bandit_ucb,train_aug_mix,1000,0.786,0.76,0.81,0.889972,0.8688180439573592,0.9090601923473596
bass,train_aug_mix,1000,0.778,0.752975,0.803,0.890024,0.8683367676410947,0.9105367037923184
asr,train_aug_mix,1000,0.773,0.747,0.798,0.9016679999999999,0.8829306361556518,0.9198834275917982
